model,MAE,RMSE,R2,bias,bias_high,RMSE_std,fit_s,horizon
<<<<<<< HEAD
persistence,15.727834612105713,21.111659658509943,0.4745411888924311,0.025149190110826947,-11.721380875928556,,,24
ridge,13.738117593963452,17.63242424868195,0.6387450740946344,1.835202886010749,-14.876197183722308,1.3761749590032524,0.7,24
random_forest,13.66658881984104,17.578032293818413,0.6402264904783305,0.788482417914304,-19.09011714662198,1.6255850870124713,133.5,24
hist_gbm,13.059364114004248,16.888362904243643,0.6680293588834173,0.9300230608262414,-16.150480733553028,1.2034151420026769,11.5,24
xgboost,13.10506210912524,16.889285895030252,0.6683763052104496,0.6746707901625377,-16.992024596118664,1.3636265401258676,14.2,24
persistence,21.500320512820515,28.082858400508933,0.09740706209950006,0.07681623931623932,-20.795871061248267,,,48
ridge,19.46165166425581,24.077188942581746,0.33288178694237835,5.0700000214282746,-22.774370831584303,1.2384949093229174,0.6,48
random_forest,17.786787908831034,22.13696320068147,0.4409515559164262,1.9379318953527755,-25.90688625365513,0.6717438569861818,136.1,48
hist_gbm,16.934044525395464,21.42532490662909,0.4762802799740249,0.8404260616745918,-24.702296169293376,0.3904726531623737,11.2,48
xgboost,16.895008980514653,21.317235794159146,0.480270251691577,1.561576882386819,-23.880785234501886,0.23231913500721754,13.8,48
persistence,23.789417309340188,31.042583983056744,-0.07368512746513295,0.14267352185089974,-25.39142923370706,,,72
ridge,22.70468035563586,27.860389600341588,0.06331297321325519,7.4598912333524074,-22.370710493623577,4.3717694988662,0.6,72
random_forest,19.02671837797778,23.800206866243215,0.37004583687521475,1.574435419559034,-28.909151627188297,1.6928954114487833,135.4,72
hist_gbm,17.845387816849335,22.588697237018124,0.43031733499984165,-1.5565624050024105,-27.95888134574131,1.195859030913098,11.1,72
xgboost,17.689981558635488,22.398067522438147,0.439345284674448,-0.6566262625176987,-26.739301221667912,0.9503751815672858,13.1,72
=======
persistence,15.550539956803455,20.896796882229633,0.4698061499447647,0.0006479481641468721,-12.169671431377793,,,24
ridge,13.735930946855422,17.604249803238694,0.6259638049813179,1.8858236125848005,-14.60410463208849,1.4770483066187936,0.5,24
random_forest,13.556482494861282,17.414275154442596,0.6340642382125311,0.6796354729051077,-19.225952054843027,1.7570531913445686,50.6,24
hist_gbm,13.057644688164642,16.869289649845456,0.6567783277646025,0.8256756225642545,-16.6297256514852,1.400131799398128,8.1,24
xgboost,13.100747623814362,16.937142662356685,0.6539762115424023,0.5721488598355979,-17.875603364670567,1.320345312621887,6.9,24
persistence,21.410100130605137,27.832613183024435,0.06484703077116241,-0.06247279059643012,-20.698990061975735,,,48
ridge,19.60593192326144,24.225216050181636,0.2824912866810953,5.070032393248274,-22.284424962238756,1.846344548268359,0.5,48
random_forest,17.646085880140337,21.94915620553705,0.41926684068631664,1.4732936245316692,-26.343310415624366,1.4023027097717287,53.5,48
hist_gbm,16.874446053362377,21.37835644229738,0.44936913448233995,0.29200206951691976,-25.312799767787077,1.2559975124405545,7.9,48
xgboost,16.624487030334873,21.031641701624,0.466455771338803,0.27316602707739546,-24.836774759202548,1.2268028817668222,6.8,48
persistence,23.894251864853004,31.024412216194293,-0.1484216252619823,-0.05353225098727515,-25.46304799039006,,,72
ridge,22.91244258565542,28.095163597803257,-0.013263438607319072,7.38992629591506,-22.276678021261805,5.176204577937348,0.5,72
random_forest,18.90874834613006,23.66008710230957,0.33407909903361943,1.1732391234804254,-29.182322622079713,1.877967609830342,56.4,72
hist_gbm,17.790804824090493,22.54204294957418,0.3933794811429463,-1.7839211186769919,-27.601692864288886,1.7197595556118428,8.1,72
xgboost,17.730132996382135,22.47310456867358,0.39699354352826477,-1.2764322398890002,-27.526255777641367,1.6750455370339525,6.4,72
>>>>>>> 55bf8a5 (Improvements)
