,mean_abs_shap
us_aqi_t,5.902025175316327
dew_point_2m_f_h48,4.280710758430966
wind_rmean48_f_h48,4.100500760109438
doy_cos_f_h48,3.7947372121095624
temp_rmean24_f_h48,3.4989740922021855
us_aqi_rmean168_t,2.9545040979766877
temp_rmean48_f_h48,2.774694150853163
hour_sin_f_h48,2.6792331209301943
temp_rmean72_f_h48,2.6550327418303428
doy_sin_f_h48,2.491823284368515
wind_rmean24_f_h48,2.2556239213848124
pm25_pm10_ratio_t,2.15410111436129
us_aqi_rmin72_t,1.9933055612278003
precip_rsum72_f_h48,1.7592827388358128
sulphur_dioxide_r24h_t,1.6379374161505713
us_aqi_rmean72_t,1.4238859046626082
ozone_r8h_t,1.1590295669221873
us_aqi_rmax72_t,1.0907714722871773
precip_rsum24_f_h48,1.071731864972119
us_aqi_lag168_t,1.0329846328139318
us_aqi_rmean3_t,1.0231175335979479
us_aqi_lag48_t,0.9562886972832664
aerosol_optical_depth_lag24_t,0.9239739669346807
temperature_2m_f_h48,0.8881476105427727
precip_rsum48_f_h48,0.7820087405872334
us_aqi_lag72_t,0.763628171951772
us_aqi_lag24_t,0.7402642172098147
wind_rmean72_f_h48,0.6029235514235459
us_aqi_rstd24_t,0.6010887225866326
us_aqi_lag1_t,0.5866562519431102
pm10_r24h_t,0.5675143943429007
us_aqi_delta24_t,0.5093730998802187
month_f_h48,0.4878127591323863
relative_humidity_2m_f_h48,0.45940628296136954
pm2_5_delta24_t,0.453080349254608
pm10_lag24_t,0.45177740211248324
us_aqi_rstd72_t,0.43994433521747556
pm2_5_r24h_t,0.42010713016510026
us_aqi_rmax24_t,0.3845112609148033
wind_dir_sin_f_h48,0.38288280752658754
cloud_cover_f_h48,0.3756608228230474
carbon_monoxide_delta24_t,0.36924512327194225
dust_delta24_t,0.3686002050948145
us_aqi_same_hour_yesterday_t,0.3680543414640427
aerosol_optical_depth_delta24_t,0.33959481194257635
aerosol_optical_depth_lag1_t,0.3353774925661092
us_aqi_delta6_t,0.30077998722553245
dayofweek_f_h48,0.2907300293278682
surface_pressure_f_h48,0.2899626238179204
us_aqi_delta3_t,0.271431924068928
hour_f_h48,0.25283751131057747
dust_lag1_t,0.2468042959499358
sulphur_dioxide_lag1_t,0.21267692637920427
us_aqi_rate24_t,0.21068640667438515
pm10_lag1_t,0.2067661451172825
us_aqi_rmean24_t,0.20531908462047602
pm10_delta24_t,0.20341870425462702
dew_spread_f_h48,0.19495156683921855
us_aqi_anomaly_vs_72h_t,0.19396995467901207
hour_cos_f_h48,0.18871333024740175
dust_lag24_t,0.182567517428398
sulphur_dioxide_lag24_t,0.1678087703275675
us_aqi_rmin24_t,0.16595260661840416
ozone_lag1_t,0.15817060659885435
us_aqi_delta72_t,0.1497434229588507
ozone_lag24_t,0.14954053812980617
us_aqi_rate6_t,0.11771010985374457
nitrogen_dioxide_t,0.11673048280715946
is_weekend_f_h48,0.10653924793720225
shortwave_radiation_f_h48,0.07533728556632993
carbon_monoxide_r8h_t,0.07358871712207787
us_aqi_lag6_t,0.06482106585025778
carbon_monoxide_lag1_t,0.06276624503374091
ozone_delta24_t,0.058458812055587686
us_aqi_rate3_t,0.0567556115484236
us_aqi_rate72_t,0.05086319034099578
nitrogen_dioxide_delta24_t,0.048293028347492314
us_aqi_lag12_t,0.04767751101255407
us_aqi_lag3_t,0.0459468544030188
pm2_5_lag1_t,0.04328977365493774
us_aqi_rmean6_t,0.03806735804796212
wind_dir_cos_f_h48,0.03732037342071531
wind_speed_10m_f_h48,0.032942452311515824
nitrogen_dioxide_lag1_t,0.024277245719432825
pm2_5_lag24_t,0.018015931890010817
nitrogen_dioxide_lag24_t,0.017791153209209525
precipitation_f_h48,0.014760934219360405
wind_gusts_10m_f_h48,0.014620569596290675
sulphur_dioxide_delta24_t,0.012484286723136803
us_aqi_lag2_t,0.012282766873836466
carbon_monoxide_lag24_t,0.00204964758872986
