,winter,summer
us_aqi_t,7.417687754785464,5.090369611860212
us_aqi_lag1_t,0.7101403400451087,0.386015757272694
us_aqi_lag2_t,0.006698759470182518,0.01321684454650228
us_aqi_lag3_t,0.014455960810009076,0.09247988457613603
us_aqi_lag6_t,0.04702571638666981,0.07685231848994611
us_aqi_lag12_t,0.05966587952940451,0.04519145831227185
us_aqi_lag24_t,1.3313142580513382,0.6844709795745237
us_aqi_lag48_t,1.9514358763371882,0.8396531147483559
us_aqi_lag72_t,1.2008783506387801,0.9244282993308509
us_aqi_lag168_t,0.8832362969934764,0.8932357512263381
us_aqi_rmean3_t,1.2078293525856774,0.9064144390598816
us_aqi_rmean6_t,0.03630418122341168,0.051890459457609235
us_aqi_rmean24_t,0.33942505490206576,0.1912139735837626
us_aqi_rmean72_t,1.683585627596088,1.6992197448848536
us_aqi_rmean168_t,2.8704679909538626,2.782920251559299
us_aqi_rstd24_t,0.7565533443615653,0.6438460094162856
us_aqi_rmax24_t,0.3108268036809586,0.37901414370460507
us_aqi_rmin24_t,0.1228971149268633,0.13898795784346735
us_aqi_rstd72_t,0.4505239346123301,0.4989482989764142
us_aqi_rmax72_t,0.6367740037747751,1.8794770372689986
us_aqi_rmin72_t,2.134494514521487,1.767780263182192
us_aqi_delta3_t,0.16113024416802785,0.34794533748891276
us_aqi_rate3_t,0.04397137362074922,0.08386635254134239
us_aqi_delta6_t,0.1576274308606148,0.39155873434011834
us_aqi_rate6_t,0.04746019395223672,0.14649029101735125
us_aqi_delta24_t,0.6196320038197437,0.5182820303030432
us_aqi_rate24_t,0.24642234550491057,0.19259404840947736
us_aqi_delta72_t,0.1474738924683488,0.17572340449248675
us_aqi_rate72_t,0.06179199059648286,0.05753719160879954
us_aqi_same_hour_yesterday_t,0.6140789996045145,0.3585494724587161
us_aqi_anomaly_vs_72h_t,0.17361812439002305,0.2207214553938862
pm2_5_r24h_t,0.3433548957817212,0.4407506687689496
pm10_r24h_t,0.44149477824846567,0.7053180386086277
ozone_r8h_t,0.6597517408496376,1.4890835146563024
nitrogen_dioxide_t,0.07818459845852678,0.16602377281881095
sulphur_dioxide_r24h_t,1.5425781049999814,1.2780527170032687
carbon_monoxide_r8h_t,0.05805660434045302,0.05926617332303807
pm2_5_lag1_t,0.02646718872190095,0.057055012541112234
pm2_5_lag24_t,0.006961543127178013,0.02042661693332801
pm2_5_delta24_t,0.3750801649365034,0.5790448962916942
pm10_lag1_t,0.2671166393777924,0.1656301006207216
pm10_lag24_t,0.3591904215021853,0.5003240582070205
pm10_delta24_t,0.15837463867442067,0.1902812066378436
ozone_lag1_t,0.16065370409949595,0.17076271478496188
ozone_lag24_t,0.2118730038258231,0.14339985457657492
ozone_delta24_t,0.04524172845602735,0.06426604292308745
nitrogen_dioxide_lag1_t,0.008567508813560417,0.0328645310865013
nitrogen_dioxide_lag24_t,0.011884385652701288,0.02415985372048692
nitrogen_dioxide_delta24_t,0.04760941077729332,0.04315371225330593
sulphur_dioxide_lag1_t,0.17180186936151112,0.19151345675375822
sulphur_dioxide_lag24_t,0.23900924846398336,0.08337747419147638
sulphur_dioxide_delta24_t,0.013810247658981112,0.015260610427774912
carbon_monoxide_lag1_t,0.05485310968168794,0.06348888028774866
carbon_monoxide_lag24_t,0.00031154772952213423,0.005034079739988967
carbon_monoxide_delta24_t,0.3273609490904657,0.3865985476881613
dust_lag1_t,0.1037766696379626,0.5259983691741714
dust_lag24_t,0.10305183507977328,0.2505599946884107
dust_delta24_t,0.32116208784947564,0.3009251852859942
aerosol_optical_depth_lag1_t,0.42256796637507926,0.37449270040782806
aerosol_optical_depth_lag24_t,1.3073413531141513,0.5034988351005626
aerosol_optical_depth_delta24_t,0.2654020793023828,0.3715880769752011
pm25_pm10_ratio_t,0.9793843165370502,2.899450567534539
temperature_2m_f_h48,0.9930361801836278,0.7337257609983141
relative_humidity_2m_f_h48,0.44510564462476465,0.4284823283009238
dew_point_2m_f_h48,7.101904208021385,1.1103191688399163
precipitation_f_h48,0.012884906856772784,0.014609905251062195
surface_pressure_f_h48,0.2720872381133582,0.5796247338179967
cloud_cover_f_h48,0.2541615600979013,0.4849677275389978
wind_speed_10m_f_h48,0.018321605304272594,0.055552247087118284
wind_gusts_10m_f_h48,0.016460217194187544,0.015689285852357116
shortwave_radiation_f_h48,0.02080347190310365,0.11063904079327305
wind_dir_sin_f_h48,0.5418555775474873,0.2074151013067972
wind_dir_cos_f_h48,0.027663887256027152,0.04733621721461069
wind_rmean24_f_h48,2.3421362037209463,2.5134595657539958
precip_rsum24_f_h48,1.3604071218904257,0.5278290964775945
temp_rmean24_f_h48,4.13856400333513,3.227470328657711
wind_rmean48_f_h48,4.5672621496105155,4.319158755682065
precip_rsum48_f_h48,0.8707417701762372,0.7639579660584594
temp_rmean48_f_h48,3.8167430030796536,2.6277187617127895
wind_rmean72_f_h48,0.5937695128784327,0.5668230914458904
precip_rsum72_f_h48,3.3006234082061945,0.7310756687217229
temp_rmean72_f_h48,4.40020794962059,1.9841628968473928
dew_spread_f_h48,0.17342645750897426,0.17261404469020863
hour_sin_f_h48,1.5276686067365925,3.6771957014159162
hour_cos_f_h48,0.1636318030371398,0.19467016643495655
doy_sin_f_h48,3.9299268973353336,2.3206976817588045
doy_cos_f_h48,9.601793839470563,1.0115033988586226
hour_f_h48,0.1823445768047476,0.2767700239077705
month_f_h48,0.9322820359193541,0.10800367290207777
dayofweek_f_h48,0.2409869523558464,0.34053346815078733
is_weekend_f_h48,0.11748974226407839,0.10831674125940081
